"filename", "language", "C++", "C", "JSON with Comments", "Python", "Java", "Shell Script", "comment", "blank", "total"
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Codeforces stuff.cpp", "C++", 17, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 1.cpp", "C++", 20, 0, 0, 0, 0, 0, 10, 4, 34
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 10.cpp", "C++", 15, 0, 0, 0, 0, 0, 9, 3, 27
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 11.cpp", "C++", 25, 0, 0, 0, 0, 0, 7, 4, 36
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 11.pp.c", "C", 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 12.cpp", "C++", 13, 0, 0, 0, 0, 0, 8, 2, 23
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 2.cpp", "C++", 15, 0, 0, 0, 0, 0, 10, 4, 29
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 3.cpp", "C++", 18, 0, 0, 0, 0, 0, 11, 4, 33
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 4.cpp", "C++", 17, 0, 0, 0, 0, 0, 12, 4, 33
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 5.cpp", "C++", 18, 0, 0, 0, 0, 0, 11, 6, 35
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 6.cpp", "C++", 14, 0, 0, 0, 0, 0, 12, 4, 30
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 7.cpp", "C++", 16, 0, 0, 0, 0, 0, 14, 5, 35
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 8.cpp", "C++", 14, 0, 0, 0, 0, 0, 11, 4, 29
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 9.cpp", "C++", 14, 0, 0, 0, 0, 0, 9, 2, 25
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug.cpp", "C++", 20, 0, 0, 0, 0, 0, 10, 4, 34
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 1_4.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 1_5.cpp", "C++", 13, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 2_5.cpp", "C++", 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 2_6.cpp", "C++", 9, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 2_7.cpp", "C++", 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 2_8.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3.11.cpp", "C++", 28, 0, 0, 0, 0, 0, 0, 2, 30
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3_10.cpp", "C++", 19, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3_11.cpp", "C++", 28, 0, 0, 0, 0, 0, 0, 2, 30
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3_12.cpp", "C++", 20, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3_13.cpp", "C++", 24, 0, 0, 0, 0, 0, 0, 2, 26
