Date : 2023-09-07 23:13:57
Directory : /Users/ralphcao/Git/USACO
Total : 1019 files,  45833 codes, 4236 comments, 7092 blanks, all 57161 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |      1,006 |     45,362 |      4,205 |      7,056 |     56,623 |
| Java               |          5 |        353 |         24 |         19 |        396 |
| Python             |          3 |         72 |          7 |         13 |         92 |
| Shell Script       |          2 |         18 |          0 |          0 |         18 |
| JSON with Comments |          1 |         15 |          0 |          0 |         15 |
| C                  |          2 |         13 |          0 |          4 |         17 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |      1,019 |     45,833 |      4,236 |      7,092 |     57,161 |
| . (Files)                                                                                                             |          1 |         39 |          0 |          8 |         47 |
| AStar                                                                                                                 |        360 |     12,751 |      1,113 |      1,729 |     15,593 |
| AStar (Files)                                                                                                         |          2 |         33 |          0 |          5 |         38 |
| AStar/A-star USACO bronze files                                                                                       |        154 |      4,327 |        352 |        506 |      5,185 |
| AStar/A-star USACO bronze files (Files)                                                                               |         22 |        356 |          0 |         53 |        409 |
| AStar/A-star USACO bronze files/Exercises                                                                             |        132 |      3,971 |        352 |        453 |      4,776 |
| AStar/A-star USACO bronze files/Exercises (Files)                                                                     |         68 |      2,404 |         98 |        283 |      2,785 |
| AStar/A-star USACO bronze files/Exercises/Debug                                                                       |         14 |        219 |        134 |         52 |        405 |
| AStar/A-star USACO bronze files/Exercises/Final Exam                                                                  |         11 |        224 |          0 |         21 |        245 |
| AStar/A-star USACO bronze files/Exercises/USACO problems                                                              |         39 |      1,124 |        120 |         97 |      1,341 |
| AStar/A-star USACO silver files                                                                                       |         24 |      1,075 |         81 |        106 |      1,262 |
| AStar/A-star USACO silver files (Files)                                                                               |          1 |         40 |         13 |          5 |         58 |
| AStar/A-star USACO silver files/USACO problems                                                                        |         23 |      1,035 |         68 |        101 |      1,204 |
| AStar/AStar Gold                                                                                                      |        109 |      3,771 |        223 |        406 |      4,400 |
| AStar/AStar Platinum 2019 Fall                                                                                        |         27 |      1,286 |        236 |        281 |      1,803 |
| AStar/AStar Platinum 2019 Winter camp                                                                                 |         43 |      2,239 |        221 |        421 |      2,881 |
| AStar/Dist_From_Ground                                                                                                |          1 |         20 |          0 |          4 |         24 |
| CSES pset                                                                                                             |        199 |     10,644 |        368 |      1,615 |     12,627 |
| CSES pset/Additional Problems                                                                                         |         12 |        522 |          8 |         71 |        601 |
| CSES pset/Advanced Techniques                                                                                         |          6 |        475 |         45 |         72 |        592 |
| CSES pset/Dynamic Programming                                                                                         |         20 |        704 |         58 |        150 |        912 |
| CSES pset/Geometry                                                                                                    |          7 |        288 |         10 |         52 |        350 |
